lat,lng,speedLimit,heading,type
33.24764,126.276702,50,-1,0
33.251867,126.553628,60,-1,0
33.253248,126.560699,50,-1,0
33.257527,126.28734,80,-1,0
33.260403,126.617664,50,-1,0
33.260577,126.494642,60,-1,0
33.260676,126.517242,50,-1,0
33.26071,126.617371,50,-1,0
33.262304,126.427517,60,-1,0
33.262394,126.449104,60,-1,0
33.263933,126.553495,50,-1,0
33.266936,126.642359,60,-1,0
33.268203,126.369464,50,-1,0
33.274136,126.650114,60,-1,0
33.281863,126.708713,50,-1,0
33.283205,126.320529,80,-1,0
33.289184,126.743926,50,-1,0
33.301082,126.767353,50,-1,0
33.306969,126.804443,50,-1,0
33.309099,126.307585,60,-1,0
33.317558,126.600573,60,-1,0
33.322103,126.714444,50,-1,0
33.32607,126.669055,60,-1,0
33.330508,126.674296,60,-1,0
33.331399,126.710388,50,-1,0
33.335866,126.841443,60,-1,0
33.338045,126.356121,80,-1,0
33.348873,126.186413,50,-1,0
33.35304,126.82347,70,-1,0
33.35732,126.822735,70,-1,0
33.364851,126.199851,60,-1,0
33.376934,126.873622,50,-1,0
33.386614,126.618785,50,-1,0
33.388585,126.376083,60,-1,0
33.388844,126.376544,60,-1,0
33.412853,126.833148,60,-1,0
33.419964,126.492046,60,-1,0
33.420214,126.492502,60,-1,0
33.424222,126.277694,60,-1,0
33.434357,126.671802,60,-1,0
33.435656,126.736062,70,-1,0
33.437684,126.870768,60,-1,0
33.438019,126.279921,70,-1,0
33.438494,126.573971,50,-1,0
33.440588,126.429324,80,-1,0
33.440597,126.429335,80,-1,0
33.441994,126.911881,60,-1,0
33.442491,126.884603,50,-1,0
33.44361,126.562845,50,-1,0
33.446475,126.906855,50,-1,0
33.45992,126.44706,70,-1,0
33.461307,126.5125,80,-1,0
33.463013,126.452628,70,-1,0
33.46325,126.339991,70,-1,0
33.463818,126.485093,80,-1,0
33.46457,126.344454,70,-1,0
33.466284,126.659963,60,-1,0
33.469806,126.363809,70,-1,0
33.472728,126.426316,80,-1,0
33.473233,126.484369,50,-1,0
33.475958,126.514619,50,-1,0
33.47816,126.468281,70,-1,0
33.479086,126.429121,50,-1,0
33.480688,126.471945,50,-1,0
33.481878,126.496074,50,-1,0
33.482272,126.481301,50,-1,0
33.48275,126.462831,50,-1,0
33.482755,126.402557,50,-1,0
33.484554,126.535991,60,-1,0
33.485341,126.410737,50,-1,0
33.48565,126.550572,50,-1,0
33.485686,126.542675,50,-1,0
33.485882,126.604001,50,-1,0
33.485963,126.47915,50,-1,0
33.489802,126.489541,50,-1,0
33.490106,126.486177,50,-1,0
33.49296,126.511422,50,-1,0
33.49322,126.501846,50,-1,0
33.493278,126.531705,50,-1,0
33.49374,126.496537,50,-1,0
33.493967,126.455916,50,-1,0
